"Site","Final_Event","Source_File","t0","t1","i_peak","t_peak","Q_peak","rising_time_h","recession_time_h","symmetry_index","RB_flashiness","peak_sharpness","baseflow_index","recession_k_per_h","n_peaks","VQ_m3","vQ_mm","Load_kg","Yield_kg_ha","duration_h","n_obs","mean_dt_s","HI_Lloyd_Index","Flushing_Index","Zuec_h","Zuec_class","Q_fixed_min","Q_fixed_max","t1_prev","dt_prev_event_h","dt_prev_event_d","Q_peak_prev","Load_kg_prev","VQ_m3_prev","prev_overlap_flag","n_events_prev_30d","n_events_prev_14d","n_events_prev_7d","QCI","Slope","DDI","CCI","SEI","LU_high","LU_mid","LU_low","LUSP","DI","SI","Sed_Risk_mean","Sed_Risk_weighted_mean","Sed_Risk_tail_2_5"
"Inanga",1,"Event_1.csv","2021-11-06 11:45:00","2021-11-07 05:45:00",23,"2021-11-06 17:15:00",1.01084694763252,5.5,12.5,0.305555555555556,0.0166070673469776,1.37608531158461,0.852099687570711,0.0596598070072987,2,48625.1972836564,1.46580485680166,8581.9344665151,2.58702111754712,18,72,912.676056338028,-0.475332994989349,0.447900605794299,-0.407505088146512,4,0.1,0.9,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.478792557814908,0.610205978702001,0.952520993493428,0.199396278907454,0.873589045271236,44.1229667027685,37.9971500118731,17.8010877218963,-0.642362455612447,-0.970577068832654,-0.0530837873268322,1.7071957247829,0.976196869637614,0.0713120829249862
"Inanga",2,"Event_2.csv","2021-12-14 09:45:00","2021-12-16 04:15:00",87,"2021-12-15 07:30:00",9.13503023536683,21.75,20.75,0.511764705882353,0.0335819606498195,3.35769327508336,0.286429869402373,0.127722971919307,1,446028.593749782,13.4455162243752,313209.683923757,94.4169487302148,42.5,169,910.714285714286,-0.447023363612671,0.485953664046467,-0.39360459209966,4,0.1,0.95,"2021-11-07 05:45:00",892,37.1666666666667,1.01084694763252,8581.9344665151,48625.1972836564,FALSE,0,0,0,0.478792557814908,0.610205978702001,0.952520993493428,0.199396278907454,0.873589045271236,44.1229667027685,37.9971500118731,17.8010877218963,-0.642362455612447,-0.970577068832654,-0.0530837873268322,1.7071957247829,0.976196869637614,0.0713120829249862
"Inanga",3,"Event_3.csv","2022-02-06 10:15:00","2022-02-08 11:30:00",105,"2022-02-07 12:30:00",2.39495942089213,26.25,23,0.532994923857868,0.0168187169225341,2.32912681106462,0.57624121307494,0.113791581974338,2,193140.402231649,5.82221061200577,32589.1720025676,9.82399440393927,49.25,196,909.230769230769,-0.0304125499198095,0.999958794959914,-0.0306875234338942,3,0.1,0.95,"2021-12-16 04:15:00",1254,52.25,9.13503023536683,313209.683923757,446028.593749782,FALSE,0,0,0,0.478792557814908,0.610205978702001,0.952520993493428,0.199396278907454,0.873589045271236,44.1229667027685,37.9971500118731,17.8010877218963,-0.642362455612447,-0.970577068832654,-0.0530837873268322,1.7071957247829,0.976196869637614,0.0713120829249862
"Inanga",4,"Event_4.csv","2022-02-21 08:00:00","2022-02-22 12:15:00",14,"2022-02-21 11:15:00",1.1895839118815,3.25,25,0.115044247787611,0.015118802117686,1.3915656431039,0.757063722866883,0.0539459861508362,3,84498.3147354509,2.54719871691729,4848.10820808954,1.46146050909827,28.25,113,908.035714285714,-0.129567662488049,0.991486127129832,-0.100881651843585,3,0.2,0.95,"2022-02-08 11:30:00",308.5,12.8541666666667,2.39495942089213,32589.1720025676,193140.402231649,FALSE,1,1,0,0.478792557814908,0.610205978702001,0.952520993493428,0.199396278907454,0.873589045271236,44.1229667027685,37.9971500118731,17.8010877218963,-0.642362455612447,-0.970577068832654,-0.0530837873268322,1.7071957247829,0.976196869637614,0.0713120829249862
"Inanga",5,"Event_5.csv","2022-03-01 22:45:00","2022-03-02 16:00:00",27,"2022-03-02 05:30:00",0.973621592632599,6.75,10.5,0.391304347826087,0.02262779299681,1.22330989865739,0.812841161011871,0.107310911050465,2,45022.0954911479,1.35718948037038,3409.83348355855,1.02789310075766,17.25,69,913.235294117647,-0.631020708352759,0.620361315238802,-0.533310395466085,4,0.1,0.9,"2022-02-22 12:15:00",178.5,7.4375,1.1895839118815,4848.10820808954,84498.3147354509,FALSE,2,1,0,0.478792557814908,0.610205978702001,0.952520993493428,0.199396278907454,0.873589045271236,44.1229667027685,37.9971500118731,17.8010877218963,-0.642362455612447,-0.970577068832654,-0.0530837873268322,1.7071957247829,0.976196869637614,0.0713120829249862
"Inanga",6,"Event_6.csv","2022-03-21 05:00:00","2022-03-22 09:00:00",50,"2022-03-21 17:15:00",5.55084647596397,12.25,15.75,0.4375,0.0396057120714838,2.36170478226387,0.316450517076085,0.210569616609982,1,217990.398128424,6.5713128616996,54570.9946878545,16.4504070980583,28,112,908.108108108108,-0.199906635670698,0.990479692100515,-0.182441048739848,3,0.1,0.95,"2022-03-02 16:00:00",445,18.5416666666667,0.973621592632599,3409.83348355855,45022.0954911479,FALSE,2,0,0,0.478792557814908,0.610205978702001,0.952520993493428,0.199396278907454,0.873589045271236,44.1229667027685,37.9971500118731,17.8010877218963,-0.642362455612447,-0.970577068832654,-0.0530837873268322,1.7071957247829,0.976196869637614,0.0713120829249862
"Inanga",7,"Event_7.csv","2022-03-23 02:30:00","2022-03-24 09:30:00",62,"2022-03-23 17:45:00",3.88041542727388,15.25,15.75,0.491935483870968,0.0263540202549599,2.0032742880302,0.454829455420266,0.181966610997876,2,206454.239735944,6.22355577391059,35011.7824662066,10.5542894735974,31,124,907.317073170732,0.163345323936314,0.17871509811821,0.145002762717284,2,0.15,0.95,"2022-03-22 09:00:00",17.5,0.729166666666667,5.55084647596397,54570.9946878545,217990.398128424,FALSE,3,1,1,0.478792557814908,0.610205978702001,0.952520993493428,0.199396278907454,0.873589045271236,44.1229667027685,37.9971500118731,17.8010877218963,-0.642362455612447,-0.970577068832654,-0.0530837873268322,1.7071957247829,0.976196869637614,0.0713120829249862
"Inanga",8,"Event_8.csv","2022-04-01 22:45:00","2022-04-02 14:45:00",20,"2022-04-02 03:45:00",0.923574433571673,5,11,0.3125,0.0141787811187836,1.32860448576753,0.841321307559067,0.0115168831731042,2,42332.5840947543,1.27611425420195,2477.24580670802,0.746764874552942,16,64,914.285714285714,-0.591865694835452,0.143865146472399,-0.554035624703385,4,0.1,0.95,"2022-03-24 09:30:00",205.25,8.55208333333333,3.88041542727388,35011.7824662066,206454.239735944,FALSE,2,2,0,0.478792557814908,0.610205978702001,0.952520993493428,0.199396278907454,0.873589045271236,44.1229667027685,37.9971500118731,17.8010877218963,-0.642362455612447,-0.970577068832654,-0.0530837873268322,1.7071957247829,0.976196869637614,0.0713120829249862
"Inanga",9,"Event_9.csv","2022-04-19 15:15:00","2022-04-21 19:00:00",44,"2022-04-20 02:15:00",0.875778462797163,11,40.75,0.21256038647343,0.00633600659674645,1.22491469458002,0.837463521558613,0.0192744117593622,10,133256.605681831,4.01701567748671,2319.07188886189,0.699083402816037,51.75,206,908.780487804878,0.0533855000623559,0.915980121494674,0.0473929740016058,2,0.25,0.95,"2022-04-02 14:45:00",408.5,17.0208333333333,0.923574433571673,2477.24580670802,42332.5840947543,FALSE,3,0,0,0.478792557814908,0.610205978702001,0.952520993493428,0.199396278907454,0.873589045271236,44.1229667027685,37.9971500118731,17.8010877218963,-0.642362455612447,-0.970577068832654,-0.0530837873268322,1.7071957247829,0.976196869637614,0.0713120829249862
"Inanga",10,"Event_10.csv","2022-04-22 08:15:00","2022-04-23 02:15:00",20,"2022-04-22 13:00:00",8.95277013366699,4.75,13.25,0.263888888888889,0.0597665291694175,1.74900755297799,0.201576678878723,0.2317751496248,1,238676.780522158,7.19490312922091,50037.4076342648,15.0837588800328,18,72,912.676056338028,-0.2826232414354,0.437409312094249,-0.268839698768798,4,0.1,0.95,"2022-04-21 19:00:00",13.25,0.552083333333333,0.875778462797163,2319.07188886189,133256.605681831,FALSE,3,1,1,0.478792557814908,0.610205978702001,0.952520993493428,0.199396278907454,0.873589045271236,44.1229667027685,37.9971500118731,17.8010877218963,-0.642362455612447,-0.970577068832654,-0.0530837873268322,1.7071957247829,0.976196869637614,0.0713120829249862
